id,course_student_id,quiz,response,user_id,created_at,updated_at,sort,name,student_id,moodle_url,course_id,min,max,scaled,course_name,date_at,consumer_key
26,1286,72,,283,2019-07-14 10:03:00,2019-07-15 10:03:00,1,2020_中学_1年_数学_Benesse模試1回,1286,https://sk.let.media.kyoto-u.ac.jp/moodle/mod/lti/service.php,254,0,100,0.72,2020年度数学[中1]A組,,
27,1287,37,,283,2019-07-15 10:03:00,2019-07-16 10:03:00,1,2020_中学_1年_数学_Benesse模試1回,1287,https://sk.let.media.kyoto-u.ac.jp/moodle/mod/lti/service.php,254,0,100,0.37,2020年度数学[中1]A組,,
28,1288,63,,283,2019-07-16 10:03:00,2019-07-17 10:03:00,1,2020_中学_1年_数学_Benesse模試1回,1288,https://sk.let.media.kyoto-u.ac.jp/moodle/mod/lti/service.php,254,0,100,0.63,2020年度数学[中1]A組,,
29,1289,75,,283,2019-07-17 10:03:00,2019-07-18 10:03:00,1,2020_中学_1年_数学_Benesse模試1回,1289,https://sk.let.media.kyoto-u.ac.jp/moodle/mod/lti/service.php,254,0,100,0.75,2020年度数学[中1]A組,,
30,1290,54,,283,2019-07-18 10:03:00,2019-07-19 10:03:00,1,2020_中学_1年_数学_Benesse模試1回,1290,https://sk.let.media.kyoto-u.ac.jp/moodle/mod/lti/service.php,254,0,100,0.54,2020年度数学[中1]A組,,
31,1291,56,,283,2019-07-19 10:03:00,2019-07-20 10:03:00,1,2020_中学_1年_数学_Benesse模試1回,1291,https://sk.let.media.kyoto-u.ac.jp/moodle/mod/lti/service.php,254,0,100,0.56,2020年度数学[中1]A組,,
32,1292,63,,283,2019-07-20 10:03:00,2019-07-21 10:03:00,1,2020_中学_1年_数学_Benesse模試1回,1292,https://sk.let.media.kyoto-u.ac.jp/moodle/mod/lti/service.php,254,0,100,0.63,2020年度数学[中1]A組,,
33,1293,52,,283,2019-07-21 10:03:00,2019-07-22 10:03:00,1,2020_中学_1年_数学_Benesse模試1回,1293,https://sk.let.media.kyoto-u.ac.jp/moodle/mod/lti/service.php,254,0,100,0.52,2020年度数学[中1]A組,,
34,1294,74,,283,2019-07-22 10:03:00,2019-07-23 10:03:00,1,2020_中学_1年_数学_Benesse模試1回,1294,https://sk.let.media.kyoto-u.ac.jp/moodle/mod/lti/service.php,254,0,100,0.74,2020年度数学[中1]A組,,
35,1295,58,,283,2019-07-23 10:03:00,2019-07-24 10:03:00,1,2020_中学_1年_数学_Benesse模試1回,1295,https://sk.let.media.kyoto-u.ac.jp/moodle/mod/lti/service.php,254,0,100,0.58,2020年度数学[中1]A組,,
36,1296,77,,283,2019-07-24 10:03:00,2019-07-25 10:03:00,1,2020_中学_1年_数学_Benesse模試1回,1296,https://sk.let.media.kyoto-u.ac.jp/moodle/mod/lti/service.php,254,0,100,0.77,2020年度数学[中1]A組,,
37,1297,66,,283,2019-07-25 10:03:00,2019-07-26 10:03:00,1,2020_中学_1年_数学_Benesse模試1回,1297,https://sk.let.media.kyoto-u.ac.jp/moodle/mod/lti/service.php,254,0,100,0.66,2020年度数学[中1]A組,,
38,1298,86,,283,2019-07-26 10:03:00,2019-07-27 10:03:00,1,2020_中学_1年_数学_Benesse模試1回,1298,https://sk.let.media.kyoto-u.ac.jp/moodle/mod/lti/service.php,254,0,100,0.86,2020年度数学[中1]A組,,
39,1299,75,,283,2019-07-27 10:03:00,2019-07-28 10:03:00,1,2020_中学_1年_数学_Benesse模試1回,1299,https://sk.let.media.kyoto-u.ac.jp/moodle/mod/lti/service.php,254,0,100,0.75,2020年度数学[中1]A組,,
40,1300,82,,283,2019-07-28 10:03:00,2019-07-29 10:03:00,1,2020_中学_1年_数学_Benesse模試1回,1300,https://sk.let.media.kyoto-u.ac.jp/moodle/mod/lti/service.php,254,0,100,0.82,2020年度数学[中1]A組,,
41,1301,78,,283,2019-07-29 10:03:00,2019-07-30 10:03:00,1,2020_中学_1年_数学_Benesse模試1回,1301,https://sk.let.media.kyoto-u.ac.jp/moodle/mod/lti/service.php,255,0,100,0.78,2020年度数学[中1]B組,,
42,1302,61,,283,2019-07-30 10:03:00,2019-07-31 10:03:00,1,2020_中学_1年_数学_Benesse模試1回,1302,https://sk.let.media.kyoto-u.ac.jp/moodle/mod/lti/service.php,255,0,100,0.61,2020年度数学[中1]B組,,
43,1303,46,,283,2019-07-31 10:03:00,2019-08-01 10:03:00,1,2020_中学_1年_数学_Benesse模試1回,1303,https://sk.let.media.kyoto-u.ac.jp/moodle/mod/lti/service.php,255,0,100,0.46,2020年度数学[中1]B組,,
44,1304,73,,283,2019-08-01 10:03:00,2019-08-02 10:03:00,1,2020_中学_1年_数学_Benesse模試1回,1304,https://sk.let.media.kyoto-u.ac.jp/moodle/mod/lti/service.php,255,0,100,0.73,2020年度数学[中1]B組,,
45,1305,61,,283,2019-08-02 10:03:00,2019-08-03 10:03:00,1,2020_中学_1年_数学_Benesse模試1回,1305,https://sk.let.media.kyoto-u.ac.jp/moodle/mod/lti/service.php,255,0,100,0.61,2020年度数学[中1]B組,,
46,1306,70,,283,2019-08-03 10:03:00,2019-08-04 10:03:00,1,2020_中学_1年_数学_Benesse模試1回,1306,https://sk.let.media.kyoto-u.ac.jp/moodle/mod/lti/service.php,255,0,100,0.7,2020年度数学[中1]B組,,
47,1307,78,,283,2019-08-04 10:03:00,2019-08-05 10:03:00,1,2020_中学_1年_数学_Benesse模試1回,1307,https://sk.let.media.kyoto-u.ac.jp/moodle/mod/lti/service.php,255,0,100,0.78,2020年度数学[中1]B組,,
48,1308,79,,283,2019-08-05 10:03:00,2019-08-06 10:03:00,1,2020_中学_1年_数学_Benesse模試1回,1308,https://sk.let.media.kyoto-u.ac.jp/moodle/mod/lti/service.php,255,0,100,0.79,2020年度数学[中1]B組,,
49,1309,79,,283,2019-08-06 10:03:00,2019-08-07 10:03:00,1,2020_中学_1年_数学_Benesse模試1回,1309,https://sk.let.media.kyoto-u.ac.jp/moodle/mod/lti/service.php,255,0,100,0.79,2020年度数学[中1]B組,,
50,1310,67,,283,2019-08-07 10:03:00,2019-08-08 10:03:00,1,2020_中学_1年_数学_Benesse模試1回,1310,https://sk.let.media.kyoto-u.ac.jp/moodle/mod/lti/service.php,255,0,100,0.67,2020年度数学[中1]B組,,
51,1311,56,,283,2019-08-08 10:03:00,2019-08-09 10:03:00,1,2020_中学_1年_数学_Benesse模試1回,1311,https://sk.let.media.kyoto-u.ac.jp/moodle/mod/lti/service.php,255,0,100,0.56,2020年度数学[中1]B組,,
52,1312,56,,283,2019-08-09 10:03:00,2019-08-10 10:03:00,1,2020_中学_1年_数学_Benesse模試1回,1312,https://sk.let.media.kyoto-u.ac.jp/moodle/mod/lti/service.php,255,0,100,0.56,2020年度数学[中1]B組,,
53,1313,67,,283,2019-08-10 10:03:00,2019-08-11 10:03:00,1,2020_中学_1年_数学_Benesse模試1回,1313,https://sk.let.media.kyoto-u.ac.jp/moodle/mod/lti/service.php,255,0,100,0.67,2020年度数学[中1]B組,,
54,1314,86,,283,2019-08-11 10:03:00,2019-08-12 10:03:00,1,2020_中学_1年_数学_Benesse模試1回,1314,https://sk.let.media.kyoto-u.ac.jp/moodle/mod/lti/service.php,255,0,100,0.86,2020年度数学[中1]B組,,
55,1315,66,,283,2019-08-12 10:03:00,2019-08-13 10:03:00,1,2020_中学_1年_数学_Benesse模試1回,1315,https://sk.let.media.kyoto-u.ac.jp/moodle/mod/lti/service.php,255,0,100,0.66,2020年度数学[中1]B組,,
