student_no,raw_score,exam_round,year,grade,subject,student_id
2330016,85.0,1,2022,中3,数学,1341
2330024,56.0,1,2022,中3,数学,1342
2330059,86.0,1,2022,中3,数学,1343
2330083,79.0,1,2022,中3,数学,1344
2330121,71.0,1,2022,中3,数学,1266
2330130,52.0,1,2022,中3,数学,1345
2330148,64.0,1,2022,中3,数学,1303
2330245,87.0,1,2022,中3,数学,1309
2330270,82.0,1,2022,中3,数学,1310
2330318,82.0,1,2022,中3,数学,1351
2330334,65.0,1,2022,中3,数学,1311
2330369,71.0,1,2022,中3,数学,1272
2330407,67.0,1,2022,中3,数学,1274
2330415,47.0,1,2022,中3,数学,1275
2330431,77.0,1,2022,中3,数学,1276
2330466,67.0,1,2022,中3,数学,1354
2330490,37.0,1,2022,中3,数学,1356
2330504,87.0,1,2022,中3,数学,1316
2330571,78.0,1,2022,中3,数学,1282
2330598,71.0,1,2022,中3,数学,1361
2330644,60.0,1,2022,中3,数学,1319
2330652,89.0,1,2022,中3,数学,1362
2330784,76.0,1,2022,中3,数学,1326
2330806,68.0,1,2022,中3,数学,1327
2330814,78.0,1,2022,中3,数学,1366
2330830,76.0,1,2022,中3,数学,1367
2330849,85.0,1,2022,中3,数学,1328
2330857,87.0,1,2022,中3,数学,1368
2330865,64.0,1,2022,中3,数学,1369
2330881,76.0,1,2022,中3,数学,1370
2330911,80.0,1,2022,中3,数学,1292
2330946,74.0,1,2022,中3,数学,1371
2330962,84.0,1,2022,中3,数学,1372
2330997,82.0,1,2022,中3,数学,1294
2331047,74.0,1,2022,中3,数学,1375
2331055,76.0,1,2022,中3,数学,1376
2331080,83.0,1,2022,中3,数学,1377
2331101,70.0,1,2022,中3,数学,1336
2331110,87.0,1,2022,中3,数学,1297
2331209,69.0,1,2022,中3,数学,1340
2330040,69.0,1,2022,中3,数学,1261
2330067,85.0,1,2022,中3,数学,1262
2330075,68.0,1,2022,中3,数学,1263
2330105,61.0,1,2022,中3,数学,1302
2330164,95.0,1,2022,中3,数学,1267
2330180,83.0,1,2022,中3,数学,1305
2330202,77.0,1,2022,中3,数学,1307
2330237,74.0,1,2022,中3,数学,1308
2330253,79.0,1,2022,中3,数学,1349
2330261,75.0,1,2022,中3,数学,1268
2330300,61.0,1,2022,中3,数学,1270
2330326,63.0,1,2022,中3,数学,1352
2330342,78.0,1,2022,中3,数学,1271
2330377,83.0,1,2022,中3,数学,1353
2330423,100.0,1,2022,中3,数学,1314
2330482,74.0,1,2022,中3,数学,1355
2330512,67.0,1,2022,中3,数学,1357
2330520,85.0,1,2022,中3,数学,1358
2330555,60.0,1,2022,中3,数学,1359
2330610,55.0,1,2022,中3,数学,1317
2330636,76.0,1,2022,中3,数学,1284
2330679,85.0,1,2022,中3,数学,1320
2330687,78.0,1,2022,中3,数学,1286
2330695,74.0,1,2022,中3,数学,1363
2330717,,1,2022,中3,数学,1322
2330725,84.0,1,2022,中3,数学,1364
2330733,68.0,1,2022,中3,数学,1323
2330750,70.0,1,2022,中3,数学,1324
2330776,73.0,1,2022,中3,数学,1288
2330792,54.0,1,2022,中3,数学,1365
2330903,77.0,1,2022,中3,数学,1329
2330938,80.0,1,2022,中3,数学,1330
2330989,78.0,1,2022,中3,数学,1293
2331004,70.0,1,2022,中3,数学,1295
2331020,77.0,1,2022,中3,数学,1374
2331071,98.0,1,2022,中3,数学,1296
2331098,70.0,1,2022,中3,数学,1378
2331128,68.0,1,2022,中3,数学,1337
2331144,85.0,1,2022,中3,数学,1338
2330032,78.0,1,2022,中3,数学,1301
2330091,51.0,1,2022,中3,数学,1264
2330113,68.0,1,2022,中3,数学,1265
2330156,77.0,1,2022,中3,数学,1346
2330172,81.0,1,2022,中3,数学,1304
2330199,88.0,1,2022,中3,数学,1306
2330210,61.0,1,2022,中3,数学,1347
2330229,83.0,1,2022,中3,数学,1348
2330288,70.0,1,2022,中3,数学,1269
2330296,56.0,1,2022,中3,数学,1350
2330350,64.0,1,2022,中3,数学,1312
2330385,88.0,1,2022,中3,数学,1313
2330393,79.0,1,2022,中3,数学,1273
2330440,75.0,1,2022,中3,数学,1277
2330458,62.0,1,2022,中3,数学,1315
2330474,76.0,1,2022,中3,数学,1278
2330539,65.0,1,2022,中3,数学,1279
2330547,51.0,1,2022,中3,数学,1280
2330563,,1,2022,中3,数学,1281
2330580,62.0,1,2022,中3,数学,1360
2330601,75.0,1,2022,中3,数学,1283
2330628,87.0,1,2022,中3,数学,1318
2330660,90.0,1,2022,中3,数学,1285
2330709,65.0,1,2022,中3,数学,1321
2330741,58.0,1,2022,中3,数学,1287
2330822,78.0,1,2022,中3,数学,1289
2330873,70.0,1,2022,中3,数学,1290
2330890,61.0,1,2022,中3,数学,1291
2330954,50.0,1,2022,中3,数学,1332
2330970,71.0,1,2022,中3,数学,1373
2331012,58.0,1,2022,中3,数学,1333
2331039,85.0,1,2022,中3,数学,1334
2331063,56.0,1,2022,中3,数学,1335
2331136,70.0,1,2022,中3,数学,1379
2331152,97.0,1,2022,中3,数学,1339
2331160,73.0,1,2022,中3,数学,1298
2331179,89.0,1,2022,中3,数学,1299
2331187,73.0,1,2022,中3,数学,1300
2331195,86.0,1,2022,中3,数学,1380
