student_no,raw_score,exam_round,year,grade,subject,student_id
2430045,64.0,1,2021,中1,英語,1709
2430088,86.0,1,2021,中1,英語,1713
2430142,85.0,1,2021,中1,英語,1719
2430150,71.0,1,2021,中1,英語,1720
2430185,75.0,1,2021,中1,英語,1723
2430290,74.0,1,2021,中1,英語,1734
2430304,68.0,1,2021,中1,英語,1735
2430320,90.0,1,2021,中1,英語,1737
2430339,84.0,1,2021,中1,英語,1738
2430398,74.0,1,2021,中1,英語,1744
2430401,74.0,1,2021,中1,英語,1745
2430436,81.0,1,2021,中1,英語,1748
2430444,80.0,1,2021,中1,英語,1749
2430460,69.0,1,2021,中1,英語,1751
2430495,72.0,1,2021,中1,英語,1754
2430525,95.0,1,2021,中1,英語,1757
2430541,69.0,1,2021,中1,英語,1759
2430584,69.0,1,2021,中1,英語,1763
2430606,58.0,1,2021,中1,英語,1765
2430614,70.0,1,2021,中1,英語,1766
2430622,90.0,1,2021,中1,英語,1767
2430630,60.0,1,2021,中1,英語,1768
2430649,67.0,1,2021,中1,英語,1769
2430894,73.0,1,2021,中1,英語,1794
2430690,90.0,1,2021,中1,英語,1774
2430703,81.0,1,2021,中1,英語,1775
2430762,81.0,1,2021,中1,英語,1781
2430797,72.0,1,2021,中1,英語,1784
2430827,70.0,1,2021,中1,英語,1787
2430843,88.0,1,2021,中1,英語,1789
2430851,65.0,1,2021,中1,英語,1790
2430886,61.0,1,2021,中1,英語,1793
2431025,60.0,1,2021,中1,英語,1807
2431033,74.0,1,2021,中1,英語,1808
2431050,74.0,1,2021,中1,英語,1810
2431092,75.0,1,2021,中1,英語,1814
2431114,68.0,1,2021,中1,英語,1816
2431122,85.0,1,2021,中1,英語,1817
2431165,80.0,1,2021,中1,英語,1821
2431181,94.0,1,2021,中1,英語,1823
2430037,75.0,1,2021,中1,英語,1708
2430096,74.0,1,2021,中1,英語,1714
2430100,80.0,1,2021,中1,英語,1715
2430134,76.0,1,2021,中1,英語,1718
2430169,88.0,1,2021,中1,英語,1721
2430177,76.0,1,2021,中1,英語,1722
