student_no,raw_score
2430045,77
2430088,90
2430142,93
2430150,97
2430185,92
2430290,89
2430304,98
2430320,91
2430339,90
2430398,90
2430401,87
2430436,97
2430444,89
2430460,82
2430495,87
2430525,100
2430541,83
2430584,76
2430606,78
2430614,89
2430622,84
2430630,99
2430649,79
2430894,94
2430690,82
2430703,65
2430762,94
2430797,83
2430827,91
2430843,85
2430851,94
2430886,70
2431025,79
2431033,94
2431050,94
2431092,86
2431114,87
2431122,100
2431165,91
2431181,92
2430037,81
2430096,92
2430100,97
2430134,81
2430169,99
2430177,94
2430223,92
2430240,70
2430266,84
2430274,85
2430282,98
2430312,85
2430363,88
2430371,86
2430380,99
2430428,98
2430452,86
2430479,94
2430487,56
2430533,96
2430550,95
2430576,90
2430592,99
2430711,34
2430231,96
2430770,99
2430789,88
2430819,87
2430835,88
2430908,91
2430932,98
2430967,83
2430991,96
2431017,100
2431068,87
2431076,95
2431106,89
2431149,92
2431173,88
2431203,83
2430010,98
2430029,97
2430053,77
2430061,93
2430070,86
2430118,93
2430126,81
2430193,100
2430207,95
2430215,85
2430258,81
2430347,94
2430355,98
2430410,89
2430509,91
2430517,79
2430568,90
2430657,98
2430665,91
2430673,81
2430681,88
2430720,80
2430738,91
2430746,84
2430754,
2430800,94
2430860,95
2430878,59
2430916,94
2430924,83
2430940,83
2430959,90
2430975,81
2430983,92
2431009,62
2431041,99
2431084,98
2431130,90
2431157,91
2431190,67
