student_no,raw_score
2530074,90
2530082,66
2530163,95
2530171,81
2530198,66
2530210,77
2530236,77
2530252,79
2530260,80
2530279,78
2530350,96
2530368,75
2530384,83
2530392,80
2530422,81
2530430,73
2530449,70
2530457,74
2530490,92
2530511,67
2530546,84
2530562,80
2530570,82
2530660,67
2530678,87
2530686,87
2530724,63
2530791,90
2530813,72
2530830,85
2530872,90
2530880,76
2530899,56
2530945,83
2530988,77
2531011,85
2531119,63
2531100,77
2531127,74
2531143,78
2530015,77
2530031,95
2530040,95
2530058,81
2530066,68
2530090,84
2530104,73
2530112,77
2530147,91
2530155,89
2530180,80
2530244,87
2530228,67
2530287,84
2530309,65
2530333,96
2530376,86
2530465,60
2530481,78
2530503,80
2530538,74
2530589,83
2530600,91
2530643,55
2530651,87
2530694,61
2530759,76
2530740,86
2530775,81
2530783,55
2530805,73
2530821,92
2530848,83
2530910,77
2530937,67
2531038,66
2531054,86
2531062,54
2531135,100
2531194,68
2530023,47
2530120,90
2530139,85
2530201,87
2530295,64
2530317,70
2530325,71
2530341,79
2530406,72
2530414,84
2530473,88
2530520,71
2530554,100
2530597,60
2530619,87
2530627,88
2530635,52
2530708,76
2530716,77
2530732,71
2530767,81
2530856,82
2530864,100
2530902,86
2530929,67
2530953,59
2530961,63
2530970,80
2530996,92
2531003,79
2531020,66
2531046,83
2531070,95
2531089,90
2531097,54
2531151,100
2531160,92
2531178,84
2531186,79
2531208,70
