student_no,raw_score
2430045,64
2430088,86
2430142,85
2430150,71
2430185,75
2430290,74
2430304,68
2430320,90
2430339,84
2430398,74
2430401,74
2430436,81
2430444,80
2430460,69
2430495,72
2430525,95
2430541,69
2430584,69
2430606,58
2430614,70
2430622,90
2430630,60
2430649,67
2430894,73
2430690,90
2430703,81
2430762,81
2430797,72
2430827,70
2430843,88
2430851,65
2430886,61
2431025,60
2431033,74
2431050,74
2431092,75
2431114,68
2431122,85
2431165,80
2431181,94
2430037,75
2430096,74
2430100,80
2430134,76
2430169,88
2430177,76
2430223,66
2430240,52
2430266,66
2430274,61
2430282,82
2430312,63
2430363,82
2430371,91
2430380,88
2430428,84
2430452,65
2430479,84
2430487,92
2430533,91
2430550,90
2430576,73
2430592,94
2430711,64
2430231,100
2430770,100
2430789,70
2430819,67
2430835,78
2430908,59
2430932,83
2430967,57
2430991,94
2431017,98
2431068,62
2431076,84
2431106,91
2431149,64
2431173,79
2431203,60
2430010,83
2430029,86
2430053,75
2430061,68
2430070,70
2430118,69
2430126,61
2430193,98
2430207,66
2430215,71
2430258,74
2430347,96
2430355,95
2430410,76
2430509,86
2430517,57
2430568,82
2430657,88
2430665,73
2430673,69
2430681,86
2430720,57
2430738,71
2430746,57
2430754,66
2430800,62
2430860,91
2430878,70
2430916,75
2430924,79
2430940,62
2430959,86
2430975,92
2430983,84
2431009,59
2431041,84
2431084,95
2431130,87
2431157,75
2431190,70
