student_no,raw_score,exam_round,year,grade,subject,student_id
2330040,62.0,1,2021,中2,数学,1261
2330059,83.0,1,2021,中2,数学,1343
2330091,81.0,1,2021,中2,数学,1264
2330130,42.0,1,2021,中2,数学,1345
2330148,44.0,1,2021,中2,数学,1303
2330156,77.0,1,2021,中2,数学,1346
2330199,88.0,1,2021,中2,数学,1306
2330202,88.0,1,2021,中2,数学,1307
2330210,46.0,1,2021,中2,数学,1347
2330245,81.0,1,2021,中2,数学,1309
2330253,83.0,1,2021,中2,数学,1349
2330288,72.0,1,2021,中2,数学,1269
2330318,70.0,1,2021,中2,数学,1351
2330342,79.0,1,2021,中2,数学,1271
2330423,90.0,1,2021,中2,数学,1314
2330458,78.0,1,2021,中2,数学,1315
2330466,90.0,1,2021,中2,数学,1354
2330482,61.0,1,2021,中2,数学,1355
2330547,70.0,1,2021,中2,数学,1280
2330563,,1,2021,中2,数学,1281
2330571,76.0,1,2021,中2,数学,1282
2330601,80.0,1,2021,中2,数学,1283
2330610,61.0,1,2021,中2,数学,1317
2330687,68.0,1,2021,中2,数学,1286
2330709,63.0,1,2021,中2,数学,1321
2330792,70.0,1,2021,中2,数学,1365
2330822,81.0,1,2021,中2,数学,1289
2330830,89.0,1,2021,中2,数学,1367
2330865,80.0,1,2021,中2,数学,1369
2330873,48.0,1,2021,中2,数学,1290
2330890,50.0,1,2021,中2,数学,1291
2330938,100.0,1,2021,中2,数学,1330
2330946,73.0,1,2021,中2,数学,1371
2330954,67.0,1,2021,中2,数学,1332
2331055,88.0,1,2021,中2,数学,1376
2331063,69.0,1,2021,中2,数学,1335
2331080,83.0,1,2021,中2,数学,1377
2331128,59.0,1,2021,中2,数学,1337
2331160,77.0,1,2021,中2,数学,1298
2331187,85.0,1,2021,中2,数学,1300
2330016,81.0,1,2021,中2,数学,1341
2330024,68.0,1,2021,中2,数学,1342
2330032,68.0,1,2021,中2,数学,1301
2330067,88.0,1,2021,中2,数学,1262
2330075,67.0,1,2021,中2,数学,1263
2330083,41.0,1,2021,中2,数学,1344
2330121,59.0,1,2021,中2,数学,1266
2330180,62.0,1,2021,中2,数学,1305
2330237,80.0,1,2021,中2,数学,1308
2330261,83.0,1,2021,中2,数学,1268
2330270,76.0,1,2021,中2,数学,1310
2330326,74.0,1,2021,中2,数学,1352
2330334,63.0,1,2021,中2,数学,1311
2330385,73.0,1,2021,中2,数学,1313
2330393,68.0,1,2021,中2,数学,1273
2330415,63.0,1,2021,中2,数学,1275
2330440,67.0,1,2021,中2,数学,1277
2330474,72.0,1,2021,中2,数学,1278
2330490,58.0,1,2021,中2,数学,1356
2330504,74.0,1,2021,中2,数学,1316
2330580,73.0,1,2021,中2,数学,1360
2330636,81.0,1,2021,中2,数学,1284
2330628,,1,2021,中2,数学,1318
2330660,91.0,1,2021,中2,数学,1285
2330717,51.0,1,2021,中2,数学,1322
2330768,83.0,1,2021,中2,数学,1325
2330733,47.0,1,2021,中2,数学,1323
2330776,66.0,1,2021,中2,数学,1288
2330784,56.0,1,2021,中2,数学,1326
2330857,93.0,1,2021,中2,数学,1368
2330881,88.0,1,2021,中2,数学,1370
2330970,81.0,1,2021,中2,数学,1373
2330989,58.0,1,2021,中2,数学,1293
2330997,65.0,1,2021,中2,数学,1294
2331039,86.0,1,2021,中2,数学,1334
2331047,82.0,1,2021,中2,数学,1375
2331071,77.0,1,2021,中2,数学,1296
2331110,88.0,1,2021,中2,数学,1297
2331136,81.0,1,2021,中2,数学,1379
2331179,70.0,1,2021,中2,数学,1299
2330105,76.0,1,2021,中2,数学,1302
