student_id,scaled,course_name,name,exam_round,year,grade,raw_score,subject,student_no,time_label
2183,0.92,2022年度1年B組数学[中学],Benesse模試2回,2,2022,中1,92.0,数学,,2022年度 中1 第2回
2184,0.58,2022年度1年B組数学[中学],Benesse模試2回,2,2022,中1,57.99999999999999,数学,,2022年度 中1 第2回
2185,0.91,2022年度1年B組数学[中学],Benesse模試2回,2,2022,中1,91.0,数学,,2022年度 中1 第2回
2186,0.86,2022年度1年B組数学[中学],Benesse模試2回,2,2022,中1,86.0,数学,,2022年度 中1 第2回
2187,0.9,2022年度1年B組数学[中学],Benesse模試2回,2,2022,中1,90.0,数学,,2022年度 中1 第2回
2188,0.72,2022年度1年B組数学[中学],Benesse模試2回,2,2022,中1,72.0,数学,,2022年度 中1 第2回
2189,0.82,2022年度1年B組数学[中学],Benesse模試2回,2,2022,中1,82.0,数学,,2022年度 中1 第2回
2190,0.75,2022年度1年B組数学[中学],Benesse模試2回,2,2022,中1,75.0,数学,,2022年度 中1 第2回
2191,0.79,2022年度1年B組数学[中学],Benesse模試2回,2,2022,中1,79.0,数学,,2022年度 中1 第2回
2192,0.41,2022年度1年B組数学[中学],Benesse模試2回,2,2022,中1,41.0,数学,,2022年度 中1 第2回
2193,0.67,2022年度1年B組数学[中学],Benesse模試2回,2,2022,中1,67.0,数学,,2022年度 中1 第2回
2194,0.85,2022年度1年B組数学[中学],Benesse模試2回,2,2022,中1,85.0,数学,,2022年度 中1 第2回
2195,0.79,2022年度1年B組数学[中学],Benesse模試2回,2,2022,中1,79.0,数学,,2022年度 中1 第2回
2196,0.77,2022年度1年B組数学[中学],Benesse模試2回,2,2022,中1,77.0,数学,,2022年度 中1 第2回
2197,0.83,2022年度1年B組数学[中学],Benesse模試2回,2,2022,中1,83.0,数学,,2022年度 中1 第2回
2198,1.0,2022年度1年B組数学[中学],Benesse模試2回,2,2022,中1,100.0,数学,,2022年度 中1 第2回
2199,0.69,2022年度1年B組数学[中学],Benesse模試2回,2,2022,中1,69.0,数学,,2022年度 中1 第2回
2200,0.7,2022年度1年B組数学[中学],Benesse模試2回,2,2022,中1,70.0,数学,,2022年度 中1 第2回
2201,0.77,2022年度1年B組数学[中学],Benesse模試2回,2,2022,中1,77.0,数学,,2022年度 中1 第2回
2202,0.88,2022年度1年B組数学[中学],Benesse模試2回,2,2022,中1,88.0,数学,,2022年度 中1 第2回
2203,0.67,2022年度1年B組数学[中学],Benesse模試2回,2,2022,中1,67.0,数学,,2022年度 中1 第2回
2204,0.93,2022年度1年B組数学[中学],Benesse模試2回,2,2022,中1,93.0,数学,,2022年度 中1 第2回
2205,0.78,2022年度1年B組数学[中学],Benesse模試2回,2,2022,中1,78.0,数学,,2022年度 中1 第2回
2206,0.93,2022年度1年B組数学[中学],Benesse模試2回,2,2022,中1,93.0,数学,,2022年度 中1 第2回
2207,0.57,2022年度1年B組数学[中学],Benesse模試2回,2,2022,中1,56.99999999999999,数学,,2022年度 中1 第2回
2208,0.82,2022年度1年B組数学[中学],Benesse模試2回,2,2022,中1,82.0,数学,,2022年度 中1 第2回
2209,0.61,2022年度1年B組数学[中学],Benesse模試2回,2,2022,中1,61.0,数学,,2022年度 中1 第2回
2210,0.43,2022年度1年B組数学[中学],Benesse模試2回,2,2022,中1,43.0,数学,,2022年度 中1 第2回
2211,0.75,2022年度1年B組数学[中学],Benesse模試2回,2,2022,中1,75.0,数学,,2022年度 中1 第2回
2212,0.9,2022年度1年B組数学[中学],Benesse模試2回,2,2022,中1,90.0,数学,,2022年度 中1 第2回
2213,0.8,2022年度1年B組数学[中学],Benesse模試2回,2,2022,中1,80.0,数学,,2022年度 中1 第2回
2214,0.55,2022年度1年B組数学[中学],Benesse模試2回,2,2022,中1,55.00000000000001,数学,,2022年度 中1 第2回
2215,0.81,2022年度1年B組数学[中学],Benesse模試2回,2,2022,中1,81.0,数学,,2022年度 中1 第2回
2216,0.86,2022年度1年B組数学[中学],Benesse模試2回,2,2022,中1,86.0,数学,,2022年度 中1 第2回
2217,0.89,2022年度1年B組数学[中学],Benesse模試2回,2,2022,中1,89.0,数学,,2022年度 中1 第2回
2218,0.84,2022年度1年B組数学[中学],Benesse模試2回,2,2022,中1,84.0,数学,,2022年度 中1 第2回
2219,0.81,2022年度1年B組数学[中学],Benesse模試2回,2,2022,中1,81.0,数学,,2022年度 中1 第2回
2220,0.53,2022年度1年B組数学[中学],Benesse模試2回,2,2022,中1,53.0,数学,,2022年度 中1 第2回
2221,0.86,2022年度1年B組数学[中学],Benesse模試2回,2,2022,中1,86.0,数学,,2022年度 中1 第2回
2222,0.88,2022年度1年B組数学[中学],Benesse模試2回,2,2022,中1,88.0,数学,,2022年度 中1 第2回
2223,0.9,2022年度1年C組数学[中学],Benesse模試2回,2,2022,中1,90.0,数学,,2022年度 中1 第2回
2224,0.63,2022年度1年C組数学[中学],Benesse模試2回,2,2022,中1,63.0,数学,,2022年度 中1 第2回
2225,0.54,2022年度1年C組数学[中学],Benesse模試2回,2,2022,中1,54.0,数学,,2022年度 中1 第2回
2226,0.78,2022年度1年C組数学[中学],Benesse模試2回,2,2022,中1,78.0,数学,,2022年度 中1 第2回
2227,0.76,2022年度1年C組数学[中学],Benesse模試2回,2,2022,中1,76.0,数学,,2022年度 中1 第2回
