subject,test_label,usage_quartile,usage_quartile_jp,median_score,n_students,total_hours,weeks,avg_weekly_hours
math,2021 R2,Q1,利用時間 最少（下位25％）,67.0,30,3256.1892,29,3.7427462068965514
math,2021 R2,Q2,利用時間 やや少（25–50％）,63.5,30,5647.6173,29,6.491514137931034
math,2021 R2,Q3,利用時間 やや多（50–75％）,58.0,29,7563.1377,29,8.99302936979786
math,2021 R2,Q4,利用時間 最多（上位25％）,66.0,30,13432.489300000001,29,15.43964287356322
math,2022 R1,Q1,利用時間 最少（下位25％）,66.5,30,2131.1657,25,2.841554266666667
math,2022 R1,Q2,利用時間 やや少（25–50％）,75.0,29,4319.0124,25,5.95725848275862
math,2022 R1,Q3,利用時間 やや多（50–75％）,69.0,29,5926.1176,25,8.173955310344827
math,2022 R1,Q4,利用時間 最多（上位25％）,66.0,30,12398.14,25,16.530853333333333
english,2021 R2,Q1,利用時間 最少（下位25％）,89.5,30,23.1323,29,0.026588850574712646
english,2021 R2,Q2,利用時間 やや少（25–50％）,86.5,30,126.1988,29,0.145056091954023
english,2021 R2,Q3,利用時間 やや多（50–75％）,89.0,29,657.2914,29,0.7815593341260404
english,2021 R2,Q4,利用時間 最多（上位25％）,94.0,30,3858.8481,29,4.435457586206897
english,2022 R1,Q1,利用時間 最少（下位25％）,79.0,30,3.1374,25,0.0041832
english,2022 R1,Q2,利用時間 やや少（25–50％）,77.0,29,33.8826,25,0.04673462068965517
english,2022 R1,Q3,利用時間 やや多（50–75％）,80.0,29,201.1264,25,0.27741572413793103
english,2022 R1,Q4,利用時間 最多（上位25％）,80.0,30,1707.2827,25,2.2763769333333332
