student_no,raw_score,exam_round,year,grade,subject,student_id
2530767,72.0,2,2023,中2,数学,2212
2530783,57.0,2,2023,中2,数学,2245
2530805,45.0,2,2023,中2,数学,2246
2530902,62.0,2,2023,中2,数学,2251
2530910,49.0,2,2023,中2,数学,2252
2530929,75.0,2,2023,中2,数学,2216
2530953,55.0,2,2023,中2,数学,2172
2530961,40.0,2,2023,中2,数学,2173
2530988,58.0,2,2023,中2,数学,2217
2531011,66.0,2,2023,中2,数学,2218
2531020,63.0,2,2023,中2,数学,2176
2531097,42.0,2,2023,中2,数学,2178
2531100,75.0,2,2023,中2,数学,2179
2531194,57.0,2,2023,中2,数学,2261
2530015,60.0,2,2023,中2,数学,2223
2530058,55.0,2,2023,中2,数学,2184
2530090,65.0,2,2023,中2,数学,2226
2530112,62.0,2,2023,中2,数学,2146
2530147,81.0,2,2023,中2,数学,2229
2530155,80.0,2,2023,中2,数学,2147
2530163,77.0,2,2023,中2,数学,2230
2530180,82.0,2,2023,中2,数学,2186
2530236,63.0,2,2023,中2,数学,2189
2530252,76.0,2,2023,中2,数学,2190
2530260,77.0,2,2023,中2,数学,2150
2530325,65.0,2,2023,中2,数学,2194
2530341,44.0,2,2023,中2,数学,2195
2530430,67.0,2,2023,中2,数学,2198
2530449,50.0,2,2023,中2,数学,2235
2530465,46.0,2,2023,中2,数学,2199
2530473,79.0,2,2023,中2,数学,2200
2530538,46.0,2,2023,中2,数学,2237
2530546,55.0,2,2023,中2,数学,2238
2530597,51.0,2,2023,中2,数学,2207
2530678,63.0,2,2023,中2,数学,2163
2530686,62.0,2,2023,中2,数学,2164
2530708,65.0,2,2023,中2,数学,2165
2530732,71.0,2,2023,中2,数学,2166
2530791,79.0,2,2023,中2,数学,2167
2530830,53.0,2,2023,中2,数学,2214
2530848,58.0,2,2023,中2,数学,2247
2530856,72.0,2,2023,中2,数学,2248
2530880,69.0,2,2023,中2,数学,2215
2530937,58.0,2,2023,中2,数学,2171
2530970,57.0,2,2023,中2,数学,2174
2530996,64.0,2,2023,中2,数学,2254
2531003,61.0,2,2023,中2,数学,2175
2531054,49.0,2,2023,中2,数学,2256
2531062,59.0,2,2023,中2,数学,2220
2531070,71.0,2,2023,中2,数学,2221
2531119,50.0,2,2023,中2,数学,2177
2531127,56.0,2,2023,中2,数学,2258
2531186,70.0,2,2023,中2,数学,2182
2530031,61.0,2,2023,中2,数学,2183
2530074,77.0,2,2023,中2,数学,2145
2530082,45.0,2,2023,中2,数学,2225
2530104,36.0,2,2023,中2,数学,2227
2530120,78.0,2,2023,中2,数学,2185
2530171,51.0,2,2023,中2,数学,2231
2530201,64.0,2,2023,中2,数学,2232
2530210,70.0,2,2023,中2,数学,2187
2530287,55.0,2,2023,中2,数学,2151
2530295,72.0,2,2023,中2,数学,2192
2530309,45.0,2,2023,中2,数学,2193
2530368,60.0,2,2023,中2,数学,2196
2530376,71.0,2,2023,中2,数学,2154
2530384,47.0,2,2023,中2,数学,2155
2530406,64.0,2,2023,中2,数学,2197
2530414,66.0,2,2023,中2,数学,2234
2530457,62.0,2,2023,中2,数学,2158
2530481,60.0,2,2023,中2,数学,2236
2530503,61.0,2,2023,中2,数学,2159
2530511,65.0,2,2023,中2,数学,2202
2530570,68.0,2,2023,中2,数学,2160
2530627,61.0,2,2023,中2,数学,2209
2530660,52.0,2,2023,中2,数学,2162
2530694,59.0,2,2023,中2,数学,2242
2530716,50.0,2,2023,中2,数学,2211
2530740,76.0,2,2023,中2,数学,2244
2530775,55.0,2,2023,中2,数学,2213
2530813,69.0,2,2023,中2,数学,2168
2530821,50.0,2,2023,中2,数学,2169
2530864,82.0,2,2023,中2,数学,2249
