student_no,raw_score,exam_round,year,grade,subject,student_id
2530023,67.0,1,2023,中2,英語,2143
2530040,82.0,1,2023,中2,英語,2224
2530066,83.0,1,2023,中2,英語,2144
2530139,77.0,1,2023,中2,英語,2228
2530198,66.0,1,2023,中2,英語,2148
2530244,76.0,1,2023,中2,英語,2188
2530228,75.0,1,2023,中2,英語,2149
2530279,77.0,1,2023,中2,英語,2191
2530317,67.0,1,2023,中2,英語,2152
2530333,71.0,1,2023,中2,英語,2153
2530350,79.0,1,2023,中2,英語,2233
2530392,60.0,1,2023,中2,英語,2156
2530422,84.0,1,2023,中2,英語,2157
2530490,94.0,1,2023,中2,英語,2201
2530520,79.0,1,2023,中2,英語,2203
2530554,72.0,1,2023,中2,英語,2204
2530562,86.0,1,2023,中2,英語,2205
2530589,87.0,1,2023,中2,英語,2206
2530600,80.0,1,2023,中2,英語,2208
2530619,57.0,1,2023,中2,英語,2239
2530635,49.0,1,2023,中2,英語,2240
2530643,74.0,1,2023,中2,英語,2241
2530651,86.0,1,2023,中2,英語,2161
2530759,50.0,1,2023,中2,英語,2210
2530724,92.0,1,2023,中2,英語,2243
2530767,67.0,1,2023,中2,英語,2212
2530783,73.0,1,2023,中2,英語,2245
2530805,47.0,1,2023,中2,英語,2246
2530902,81.0,1,2023,中2,英語,2251
2530910,72.0,1,2023,中2,英語,2252
2530929,68.0,1,2023,中2,英語,2216
2530953,77.0,1,2023,中2,英語,2172
2530961,76.0,1,2023,中2,英語,2173
2530988,77.0,1,2023,中2,英語,2217
2531011,77.0,1,2023,中2,英語,2218
2531020,33.0,1,2023,中2,英語,2176
2531097,87.0,1,2023,中2,英語,2178
2531100,81.0,1,2023,中2,英語,2179
2531194,65.0,1,2023,中2,英語,2261
2531208,67.0,1,2023,中2,英語,2262
2530015,67.0,1,2023,中2,英語,2223
2530058,54.0,1,2023,中2,英語,2184
2530090,98.0,1,2023,中2,英語,2226
2530112,82.0,1,2023,中2,英語,2146
2530147,70.0,1,2023,中2,英語,2229
2530155,95.0,1,2023,中2,英語,2147
2530163,85.0,1,2023,中2,英語,2230
2530180,82.0,1,2023,中2,英語,2186
2530236,76.0,1,2023,中2,英語,2189
2530252,93.0,1,2023,中2,英語,2190
2530260,68.0,1,2023,中2,英語,2150
2530325,85.0,1,2023,中2,英語,2194
2530341,63.0,1,2023,中2,英語,2195
2530430,90.0,1,2023,中2,英語,2198
2530449,67.0,1,2023,中2,英語,2235
2530465,43.0,1,2023,中2,英語,2199
2530473,78.0,1,2023,中2,英語,2200
2530538,66.0,1,2023,中2,英語,2237
2530546,62.0,1,2023,中2,英語,2238
2530597,71.0,1,2023,中2,英語,2207
2530678,77.0,1,2023,中2,英語,2163
2530686,58.0,1,2023,中2,英語,2164
2530708,68.0,1,2023,中2,英語,2165
2530732,87.0,1,2023,中2,英語,2166
2530791,86.0,1,2023,中2,英語,2167
2530830,84.0,1,2023,中2,英語,2214
2530848,65.0,1,2023,中2,英語,2247
2530856,81.0,1,2023,中2,英語,2248
2530880,54.0,1,2023,中2,英語,2215
2530937,66.0,1,2023,中2,英語,2171
2530970,95.0,1,2023,中2,英語,2174
2530996,72.0,1,2023,中2,英語,2254
2531003,89.0,1,2023,中2,英語,2175
2531054,74.0,1,2023,中2,英語,2256
2531062,69.0,1,2023,中2,英語,2220
2531070,77.0,1,2023,中2,英語,2221
2531119,77.0,1,2023,中2,英語,2177
2531127,66.0,1,2023,中2,英語,2258
2531186,96.0,1,2023,中2,英語,2182
2530031,74.0,1,2023,中2,英語,2183
2530074,76.0,1,2023,中2,英語,2145
2530082,47.0,1,2023,中2,英語,2225
2530104,86.0,1,2023,中2,英語,2227
2530120,88.0,1,2023,中2,英語,2185
2530171,63.0,1,2023,中2,英語,2231
2530201,92.0,1,2023,中2,英語,2232
2530210,74.0,1,2023,中2,英語,2187
2530287,63.0,1,2023,中2,英語,2151
2530295,78.0,1,2023,中2,英語,2192
2530309,76.0,1,2023,中2,英語,2193
2530368,67.0,1,2023,中2,英語,2196
2530376,82.0,1,2023,中2,英語,2154
2530384,75.0,1,2023,中2,英語,2155
2530406,88.0,1,2023,中2,英語,2197
2530414,85.0,1,2023,中2,英語,2234
2530457,87.0,1,2023,中2,英語,2158
2530481,68.0,1,2023,中2,英語,2236
2530503,74.0,1,2023,中2,英語,2159
2530511,97.0,1,2023,中2,英語,2202
2530570,75.0,1,2023,中2,英語,2160
2530627,74.0,1,2023,中2,英語,2209
2530660,75.0,1,2023,中2,英語,2162
2530694,74.0,1,2023,中2,英語,2242
2530716,64.0,1,2023,中2,英語,2211
2530740,60.0,1,2023,中2,英語,2244
2530775,69.0,1,2023,中2,英語,2213
2530813,64.0,1,2023,中2,英語,2168
2530821,87.0,1,2023,中2,英語,2169
2530864,90.0,1,2023,中2,英語,2249
2530872,92.0,1,2023,中2,英語,2170
2530945,57.0,1,2023,中2,英語,2253
2531038,91.0,1,2023,中2,英語,2219
2531046,65.0,1,2023,中2,英語,2255
2531089,75.0,1,2023,中2,英語,2257
2531135,76.0,1,2023,中2,英語,2259
2531143,70.0,1,2023,中2,英語,2260
2531151,94.0,1,2023,中2,英語,2180
2531160,100.0,1,2023,中2,英語,2181
2531178,55.0,1,2023,中2,英語,2222
2530023,62.0,2,2023,中2,英語,2143
2530040,85.0,2,2023,中2,英語,2224
2530066,64.0,2,2023,中2,英語,2144
2530139,68.0,2,2023,中2,英語,2228
2530198,85.0,2,2023,中2,英語,2148
2530244,64.0,2,2023,中2,英語,2188
2530228,43.0,2,2023,中2,英語,2149
2530279,73.0,2,2023,中2,英語,2191
2530317,53.0,2,2023,中2,英語,2152
2530333,79.0,2,2023,中2,英語,2153
2530350,73.0,2,2023,中2,英語,2233
2530392,66.0,2,2023,中2,英語,2156
2530422,92.0,2,2023,中2,英語,2157
2530490,79.0,2,2023,中2,英語,2201
2530520,74.0,2,2023,中2,英語,2203
2530554,70.0,2,2023,中2,英語,2204
2530562,76.0,2,2023,中2,英語,2205
2530589,76.0,2,2023,中2,英語,2206
2530600,77.0,2,2023,中2,英語,2208
2530619,91.0,2,2023,中2,英語,2239
2530635,57.0,2,2023,中2,英語,2240
2530643,66.0,2,2023,中2,英語,2241
2530651,85.0,2,2023,中2,英語,2161
2530759,33.0,2,2023,中2,英語,2210
2530724,86.0,2,2023,中2,英語,2243
2530767,86.0,2,2023,中2,英語,2212
2530783,54.0,2,2023,中2,英語,2245
2530805,67.0,2,2023,中2,英語,2246
2530902,74.0,2,2023,中2,英語,2251
2530910,78.0,2,2023,中2,英語,2252
2530929,63.0,2,2023,中2,英語,2216
2530953,72.0,2,2023,中2,英語,2172
2530961,67.0,2,2023,中2,英語,2173
2530988,65.0,2,2023,中2,英語,2217
2531011,77.0,2,2023,中2,英語,2218
2531020,32.0,2,2023,中2,英語,2176
2531097,65.0,2,2023,中2,英語,2178
2531100,90.0,2,2023,中2,英語,2179
2531194,71.0,2,2023,中2,英語,2261
2530015,53.0,2,2023,中2,英語,2223
2530058,55.0,2,2023,中2,英語,2184
2530090,68.0,2,2023,中2,英語,2226
2530112,85.0,2,2023,中2,英語,2146
2530147,85.0,2,2023,中2,英語,2229
2530155,86.0,2,2023,中2,英語,2147
2530163,92.0,2,2023,中2,英語,2230
2530180,68.0,2,2023,中2,英語,2186
2530236,80.0,2,2023,中2,英語,2189
2530252,90.0,2,2023,中2,英語,2190
2530260,62.0,2,2023,中2,英語,2150
2530325,74.0,2,2023,中2,英語,2194
2530341,64.0,2,2023,中2,英語,2195
2530430,94.0,2,2023,中2,英語,2198
2530449,54.0,2,2023,中2,英語,2235
2530465,30.0,2,2023,中2,英語,2199
2530473,83.0,2,2023,中2,英語,2200
2530538,58.0,2,2023,中2,英語,2237
2530546,60.0,2,2023,中2,英語,2238
2530597,76.0,2,2023,中2,英語,2207
2530678,77.0,2,2023,中2,英語,2163
2530686,53.0,2,2023,中2,英語,2164
2530708,52.0,2,2023,中2,英語,2165
2530732,80.0,2,2023,中2,英語,2166
2530791,92.0,2,2023,中2,英語,2167
2530830,72.0,2,2023,中2,英語,2214
2530848,67.0,2,2023,中2,英語,2247
2530856,70.0,2,2023,中2,英語,2248
2530880,59.0,2,2023,中2,英語,2215
2530937,73.0,2,2023,中2,英語,2171
2530970,90.0,2,2023,中2,英語,2174
2530996,82.0,2,2023,中2,英語,2254
2531003,90.0,2,2023,中2,英語,2175
2531054,79.0,2,2023,中2,英語,2256
2531062,61.0,2,2023,中2,英語,2220
2531070,70.0,2,2023,中2,英語,2221
2531119,68.0,2,2023,中2,英語,2177
2531127,69.0,2,2023,中2,英語,2258
2531186,96.0,2,2023,中2,英語,2182
2530031,71.0,2,2023,中2,英語,2183
2530074,71.0,2,2023,中2,英語,2145
2530082,54.0,2,2023,中2,英語,2225
2530104,74.0,2,2023,中2,英語,2227
2530120,88.0,2,2023,中2,英語,2185
2530171,61.0,2,2023,中2,英語,2231
2530201,80.0,2,2023,中2,英語,2232
2530210,75.0,2,2023,中2,英語,2187
2530287,60.0,2,2023,中2,英語,2151
2530295,75.0,2,2023,中2,英語,2192
2530309,57.0,2,2023,中2,英語,2193
2530368,43.0,2,2023,中2,英語,2196
2530376,73.0,2,2023,中2,英語,2154
2530384,77.0,2,2023,中2,英語,2155
2530406,79.0,2,2023,中2,英語,2197
2530414,79.0,2,2023,中2,英語,2234
2530457,73.0,2,2023,中2,英語,2158
2530481,67.0,2,2023,中2,英語,2236
2530503,81.0,2,2023,中2,英語,2159
2530511,90.0,2,2023,中2,英語,2202
2530570,68.0,2,2023,中2,英語,2160
2530627,65.0,2,2023,中2,英語,2209
2530660,66.0,2,2023,中2,英語,2162
2530694,84.0,2,2023,中2,英語,2242
2530716,73.0,2,2023,中2,英語,2211
2530740,46.0,2,2023,中2,英語,2244
2530775,78.0,2,2023,中2,英語,2213
2530813,51.0,2,2023,中2,英語,2168
2530821,86.0,2,2023,中2,英語,2169
2530864,92.0,2,2023,中2,英語,2249
2530872,82.0,2,2023,中2,英語,2170
2530945,62.0,2,2023,中2,英語,2253
2531038,84.0,2,2023,中2,英語,2219
2531046,75.0,2,2023,中2,英語,2255
2531089,53.0,2,2023,中2,英語,2257
2531135,76.0,2,2023,中2,英語,2259
2531143,75.0,2,2023,中2,英語,2260
2531151,70.0,2,2023,中2,英語,2180
2531160,90.0,2,2023,中2,英語,2181
2531178,73.0,2,2023,中2,英語,2222
