student_no,raw_score,exam_round,year,grade,subject,student_id
2530074,90.0,1,2024,中3,数学,2145
2530082,66.0,1,2024,中3,数学,2225
2530163,95.0,1,2024,中3,数学,2230
2530171,81.0,1,2024,中3,数学,2231
2530198,66.0,1,2024,中3,数学,2148
2530210,77.0,1,2024,中3,数学,2187
2530236,77.0,1,2024,中3,数学,2189
2530252,79.0,1,2024,中3,数学,2190
2530260,80.0,1,2024,中3,数学,2150
2530279,78.0,1,2024,中3,数学,2191
2530350,96.0,1,2024,中3,数学,2233
2530368,75.0,1,2024,中3,数学,2196
2530384,83.0,1,2024,中3,数学,2155
2530392,80.0,1,2024,中3,数学,2156
2530422,81.0,1,2024,中3,数学,2157
2530430,73.0,1,2024,中3,数学,2198
2530449,70.0,1,2024,中3,数学,2235
2530457,74.0,1,2024,中3,数学,2158
2530490,92.0,1,2024,中3,数学,2201
2530511,67.0,1,2024,中3,数学,2202
2530546,84.0,1,2024,中3,数学,2238
2530562,80.0,1,2024,中3,数学,2205
2530570,82.0,1,2024,中3,数学,2160
2530660,67.0,1,2024,中3,数学,2162
2530678,87.0,1,2024,中3,数学,2163
2530686,87.0,1,2024,中3,数学,2164
2530724,63.0,1,2024,中3,数学,2243
2530791,90.0,1,2024,中3,数学,2167
2530813,72.0,1,2024,中3,数学,2168
2530830,85.0,1,2024,中3,数学,2214
2530872,90.0,1,2024,中3,数学,2170
2530880,76.0,1,2024,中3,数学,2215
2530899,56.0,1,2024,中3,数学,2250
2530945,83.0,1,2024,中3,数学,2253
2530988,77.0,1,2024,中3,数学,2217
2531011,85.0,1,2024,中3,数学,2218
2531119,63.0,1,2024,中3,数学,2177
2531100,77.0,1,2024,中3,数学,2179
2531127,74.0,1,2024,中3,数学,2258
2531143,78.0,1,2024,中3,数学,2260
2530015,77.0,1,2024,中3,数学,2223
2530031,95.0,1,2024,中3,数学,2183
2530040,95.0,1,2024,中3,数学,2224
2530058,81.0,1,2024,中3,数学,2184
2530066,68.0,1,2024,中3,数学,2144
2530090,84.0,1,2024,中3,数学,2226
2530104,73.0,1,2024,中3,数学,2227
2530112,77.0,1,2024,中3,数学,2146
2530147,91.0,1,2024,中3,数学,2229
2530155,89.0,1,2024,中3,数学,2147
2530180,80.0,1,2024,中3,数学,2186
2530244,87.0,1,2024,中3,数学,2188
2530228,67.0,1,2024,中3,数学,2149
2530287,84.0,1,2024,中3,数学,2151
2530309,65.0,1,2024,中3,数学,2193
2530333,96.0,1,2024,中3,数学,2153
2530376,86.0,1,2024,中3,数学,2154
2530465,60.0,1,2024,中3,数学,2199
2530481,78.0,1,2024,中3,数学,2236
2530503,80.0,1,2024,中3,数学,2159
2530538,74.0,1,2024,中3,数学,2237
2530589,83.0,1,2024,中3,数学,2206
2530600,91.0,1,2024,中3,数学,2208
2530643,55.0,1,2024,中3,数学,2241
2530651,87.0,1,2024,中3,数学,2161
2530694,61.0,1,2024,中3,数学,2242
2530759,76.0,1,2024,中3,数学,2210
2530740,86.0,1,2024,中3,数学,2244
2530775,81.0,1,2024,中3,数学,2213
2530783,55.0,1,2024,中3,数学,2245
2530805,73.0,1,2024,中3,数学,2246
2530821,92.0,1,2024,中3,数学,2169
2530848,83.0,1,2024,中3,数学,2247
2530910,77.0,1,2024,中3,数学,2252
2530937,67.0,1,2024,中3,数学,2171
2531038,66.0,1,2024,中3,数学,2219
2531054,86.0,1,2024,中3,数学,2256
2531062,54.0,1,2024,中3,数学,2220
2531135,100.0,1,2024,中3,数学,2259
2531194,68.0,1,2024,中3,数学,2261
2530023,47.0,1,2024,中3,数学,2143
2530120,90.0,1,2024,中3,数学,2185
2530139,85.0,1,2024,中3,数学,2228
2530201,87.0,1,2024,中3,数学,2232
2530295,64.0,1,2024,中3,数学,2192
2530317,70.0,1,2024,中3,数学,2152
2530325,71.0,1,2024,中3,数学,2194
2530341,79.0,1,2024,中3,数学,2195
2530406,72.0,1,2024,中3,数学,2197
2530414,84.0,1,2024,中3,数学,2234
2530473,88.0,1,2024,中3,数学,2200
2530520,71.0,1,2024,中3,数学,2203
2530554,100.0,1,2024,中3,数学,2204
2530597,60.0,1,2024,中3,数学,2207
2530619,87.0,1,2024,中3,数学,2239
2530627,88.0,1,2024,中3,数学,2209
2530635,52.0,1,2024,中3,数学,2240
2530708,76.0,1,2024,中3,数学,2165
2530716,77.0,1,2024,中3,数学,2211
2530732,71.0,1,2024,中3,数学,2166
2530767,81.0,1,2024,中3,数学,2212
2530856,82.0,1,2024,中3,数学,2248
2530864,100.0,1,2024,中3,数学,2249
2530902,86.0,1,2024,中3,数学,2251
2530929,67.0,1,2024,中3,数学,2216
2530953,59.0,1,2024,中3,数学,2172
2530961,63.0,1,2024,中3,数学,2173
2530970,80.0,1,2024,中3,数学,2174
2530996,92.0,1,2024,中3,数学,2254
2531003,79.0,1,2024,中3,数学,2175
2531020,66.0,1,2024,中3,数学,2176
2531046,83.0,1,2024,中3,数学,2255
2531070,95.0,1,2024,中3,数学,2221
2531089,90.0,1,2024,中3,数学,2257
2531097,54.0,1,2024,中3,数学,2178
2531151,100.0,1,2024,中3,数学,2180
2531160,92.0,1,2024,中3,数学,2181
2531178,84.0,1,2024,中3,数学,2222
2531186,79.0,1,2024,中3,数学,2182
2531208,70.0,1,2024,中3,数学,2262
2530074,78.0,2,2024,中3,数学,2145
2530082,68.0,2,2024,中3,数学,2225
2530163,95.0,2,2024,中3,数学,2230
2530171,71.0,2,2024,中3,数学,2231
2530198,63.0,2,2024,中3,数学,2148
2530210,73.0,2,2024,中3,数学,2187
2530236,73.0,2,2024,中3,数学,2189
2530252,57.0,2,2024,中3,数学,2190
2530260,62.0,2,2024,中3,数学,2150
2530279,70.0,2,2024,中3,数学,2191
2530350,73.0,2,2024,中3,数学,2233
2530368,54.0,2,2024,中3,数学,2196
2530384,61.0,2,2024,中3,数学,2155
2530392,47.0,2,2024,中3,数学,2156
2530422,66.0,2,2024,中3,数学,2157
2530430,83.0,2,2024,中3,数学,2198
2530449,67.0,2,2024,中3,数学,2235
2530457,72.0,2,2024,中3,数学,2158
2530490,72.0,2,2024,中3,数学,2201
2530511,81.0,2,2024,中3,数学,2202
2530546,57.0,2,2024,中3,数学,2238
2530562,74.0,2,2024,中3,数学,2205
2530570,79.0,2,2024,中3,数学,2160
2530660,73.0,2,2024,中3,数学,2162
2530678,59.0,2,2024,中3,数学,2163
2530686,72.0,2,2024,中3,数学,2164
2530724,84.0,2,2024,中3,数学,2243
2530791,81.0,2,2024,中3,数学,2167
2530813,60.0,2,2024,中3,数学,2168
2530830,63.0,2,2024,中3,数学,2214
2530872,96.0,2,2024,中3,数学,2170
2530880,81.0,2,2024,中3,数学,2215
2530899,62.0,2,2024,中3,数学,2250
2530945,68.0,2,2024,中3,数学,2253
