student_no,raw_score
2330040,62
2330059,83
2330091,81
2330130,42
2330148,44
2330156,77
2330199,88
2330202,88
2330210,46
2330245,81
2330253,83
2330288,72
2330318,70
2330342,79
2330423,90
2330458,78
2330466,90
2330482,61
2330547,70
2330563,
2330571,76
2330601,80
2330610,61
2330687,68
2330709,63
2330792,70
2330822,81
2330830,89
2330865,80
2330873,48
2330890,50
2330938,100
2330946,73
2330954,67
2331055,88
2331063,69
2331080,83
2331128,59
2331160,77
2331187,85
2330016,81
2330024,68
2330032,68
2330067,88
2330075,67
2330083,41
2330121,59
2330180,62
2330237,80
2330261,83
2330270,76
2330326,74
2330334,63
2330385,73
2330393,68
2330415,63
2330440,67
2330474,72
2330490,58
2330504,74
2330580,73
2330636,81
2330628,
2330660,91
2330717,51
2330768,83
2330733,47
2330776,66
2330784,56
2330857,93
2330881,88
2330970,81
2330989,58
2330997,65
2331039,86
2331047,82
2331071,77
2331110,88
2331136,81
2331179,70
2330105,76
2330113,81
2330164,68
2330172,93
2330229,63
2330296,67
2330300,65
2330350,55
2330369,83
2330377,76
2330407,46
2330431,80
2330512,
2330520,85
2330539,83
2330555,67
2330598,67
2330644,77
2330652,100
2330679,80
2330695,77
2330725,91
2330741,67
2330750,73
2330806,69
2330814,79
2330849,88
2330903,77
2330911,80
2330920,60
2330962,88
2331004,79
2331012,50
2331020,83
2331098,81
2331101,81
2331144,93
2331152,77
2331195,93
2331209,57
