student_no,raw_score,exam_round,year,grade,subject,student_id,scaled,course_name,name,time_label
2430258,77.0,1,2021,中1,Math,1730,,,,2021年度 中1 第1回
2430347,63.0,1,2021,中1,Math,1739,,,,2021年度 中1 第1回
2430355,63.0,1,2021,中1,Math,1740,,,,2021年度 中1 第1回
2430410,70.0,1,2021,中1,Math,1746,,,,2021年度 中1 第1回
2430509,90.0,1,2021,中1,Math,1755,,,,2021年度 中1 第1回
2430517,77.0,1,2021,中1,Math,1756,,,,2021年度 中1 第1回
2430568,57.0,1,2021,中1,Math,1761,,,,2021年度 中1 第1回
2430657,68.0,1,2021,中1,Math,1770,,,,2021年度 中1 第1回
2430665,76.0,1,2021,中1,Math,1771,,,,2021年度 中1 第1回
2430673,65.0,1,2021,中1,Math,1772,,,,2021年度 中1 第1回
2430681,77.0,1,2021,中1,Math,1773,,,,2021年度 中1 第1回
2430720,74.0,1,2021,中1,Math,1777,,,,2021年度 中1 第1回
2430738,77.0,1,2021,中1,Math,1778,,,,2021年度 中1 第1回
2430746,79.0,1,2021,中1,Math,1779,,,,2021年度 中1 第1回
2430800,79.0,1,2021,中1,Math,1785,,,,2021年度 中1 第1回
2430860,64.0,1,2021,中1,Math,1791,,,,2021年度 中1 第1回
2430878,79.0,1,2021,中1,Math,1792,,,,2021年度 中1 第1回
2430916,77.0,1,2021,中1,Math,1796,,,,2021年度 中1 第1回
2430924,79.0,1,2021,中1,Math,1797,,,,2021年度 中1 第1回
2430940,72.0,1,2021,中1,Math,1799,,,,2021年度 中1 第1回
2430959,74.0,1,2021,中1,Math,1800,,,,2021年度 中1 第1回
2430975,72.0,1,2021,中1,Math,1802,,,,2021年度 中1 第1回
2430983,76.0,1,2021,中1,Math,1803,,,,2021年度 中1 第1回
2431009,79.0,1,2021,中1,Math,1805,,,,2021年度 中1 第1回
2431041,75.0,1,2021,中1,Math,1809,,,,2021年度 中1 第1回
2431084,95.0,1,2021,中1,Math,1813,,,,2021年度 中1 第1回
2431130,77.0,1,2021,中1,Math,1818,,,,2021年度 中1 第1回
2431157,84.0,1,2021,中1,Math,1820,,,,2021年度 中1 第1回
2431190,71.0,1,2021,中1,Math,1824,,,,2021年度 中1 第1回
2430045,61.0,2,2021,中1,Math,1709,,,,2021年度 中1 第2回
2430088,75.0,2,2021,中1,Math,1713,,,,2021年度 中1 第2回
2430142,56.0,2,2021,中1,Math,1719,,,,2021年度 中1 第2回
2430150,70.0,2,2021,中1,Math,1720,,,,2021年度 中1 第2回
2430185,68.0,2,2021,中1,Math,1723,,,,2021年度 中1 第2回
2430290,64.0,2,2021,中1,Math,1734,,,,2021年度 中1 第2回
2430304,88.0,2,2021,中1,Math,1735,,,,2021年度 中1 第2回
2430320,81.0,2,2021,中1,Math,1737,,,,2021年度 中1 第2回
2430339,84.0,2,2021,中1,Math,1738,,,,2021年度 中1 第2回
2430398,71.0,2,2021,中1,Math,1744,,,,2021年度 中1 第2回
2430401,67.0,2,2021,中1,Math,1745,,,,2021年度 中1 第2回
2430436,80.0,2,2021,中1,Math,1748,,,,2021年度 中1 第2回
2430444,61.0,2,2021,中1,Math,1749,,,,2021年度 中1 第2回
2430460,50.0,2,2021,中1,Math,1751,,,,2021年度 中1 第2回
2430495,71.0,2,2021,中1,Math,1754,,,,2021年度 中1 第2回
2430525,80.0,2,2021,中1,Math,1757,,,,2021年度 中1 第2回
2430541,90.0,2,2021,中1,Math,1759,,,,2021年度 中1 第2回
2430584,58.0,2,2021,中1,Math,1763,,,,2021年度 中1 第2回
2430606,63.0,2,2021,中1,Math,1765,,,,2021年度 中1 第2回
2430622,49.0,2,2021,中1,Math,1767,,,,2021年度 中1 第2回
2430630,61.0,2,2021,中1,Math,1768,,,,2021年度 中1 第2回
2430649,69.0,2,2021,中1,Math,1769,,,,2021年度 中1 第2回
2430894,40.0,2,2021,中1,Math,1794,,,,2021年度 中1 第2回
2430690,42.0,2,2021,中1,Math,1774,,,,2021年度 中1 第2回
2430703,39.0,2,2021,中1,Math,1775,,,,2021年度 中1 第2回
2430762,81.0,2,2021,中1,Math,1781,,,,2021年度 中1 第2回
2430797,76.0,2,2021,中1,Math,1784,,,,2021年度 中1 第2回
2430827,69.0,2,2021,中1,Math,1787,,,,2021年度 中1 第2回
2430843,54.0,2,2021,中1,Math,1789,,,,2021年度 中1 第2回
2430851,72.0,2,2021,中1,Math,1790,,,,2021年度 中1 第2回
2430886,56.0,2,2021,中1,Math,1793,,,,2021年度 中1 第2回
2431025,48.0,2,2021,中1,Math,1807,,,,2021年度 中1 第2回
2431033,72.0,2,2021,中1,Math,1808,,,,2021年度 中1 第2回
2431050,49.0,2,2021,中1,Math,1810,,,,2021年度 中1 第2回
2431092,58.0,2,2021,中1,Math,1814,,,,2021年度 中1 第2回
2431114,65.0,2,2021,中1,Math,1816,,,,2021年度 中1 第2回
2431122,90.0,2,2021,中1,Math,1817,,,,2021年度 中1 第2回
2431165,56.0,2,2021,中1,Math,1821,,,,2021年度 中1 第2回
2431181,58.0,2,2021,中1,Math,1823,,,,2021年度 中1 第2回
2430037,66.0,2,2021,中1,Math,1708,,,,2021年度 中1 第2回
2430096,59.0,2,2021,中1,Math,1714,,,,2021年度 中1 第2回
2430100,58.0,2,2021,中1,Math,1715,,,,2021年度 中1 第2回
2430134,54.0,2,2021,中1,Math,1718,,,,2021年度 中1 第2回
2430169,58.0,2,2021,中1,Math,1721,,,,2021年度 中1 第2回
2430177,58.0,2,2021,中1,Math,1722,,,,2021年度 中1 第2回
2430223,74.0,2,2021,中1,Math,1727,,,,2021年度 中1 第2回
2430240,71.0,2,2021,中1,Math,1729,,,,2021年度 中1 第2回
2430266,40.0,2,2021,中1,Math,1731,,,,2021年度 中1 第2回
2430274,61.0,2,2021,中1,Math,1732,,,,2021年度 中1 第2回
2430282,70.0,2,2021,中1,Math,1733,,,,2021年度 中1 第2回
2430312,57.0,2,2021,中1,Math,1736,,,,2021年度 中1 第2回
2430371,73.0,2,2021,中1,Math,1742,,,,2021年度 中1 第2回
2430380,76.0,2,2021,中1,Math,1743,,,,2021年度 中1 第2回
2430428,63.0,2,2021,中1,Math,1747,,,,2021年度 中1 第2回
2430452,55.0,2,2021,中1,Math,1750,,,,2021年度 中1 第2回
2430479,63.0,2,2021,中1,Math,1752,,,,2021年度 中1 第2回
2430487,43.0,2,2021,中1,Math,1753,,,,2021年度 中1 第2回
2430533,58.0,2,2021,中1,Math,1758,,,,2021年度 中1 第2回
2430550,60.0,2,2021,中1,Math,1760,,,,2021年度 中1 第2回
2430576,79.0,2,2021,中1,Math,1762,,,,2021年度 中1 第2回
2430592,66.0,2,2021,中1,Math,1764,,,,2021年度 中1 第2回
2430770,72.0,2,2021,中1,Math,1782,,,,2021年度 中1 第2回
2430789,73.0,2,2021,中1,Math,1783,,,,2021年度 中1 第2回
2430819,54.0,2,2021,中1,Math,1786,,,,2021年度 中1 第2回
2430835,83.0,2,2021,中1,Math,1788,,,,2021年度 中1 第2回
2430908,69.0,2,2021,中1,Math,1795,,,,2021年度 中1 第2回
2430932,81.0,2,2021,中1,Math,1798,,,,2021年度 中1 第2回
2430967,52.0,2,2021,中1,Math,1801,,,,2021年度 中1 第2回
2430991,47.0,2,2021,中1,Math,1804,,,,2021年度 中1 第2回
2431017,95.0,2,2021,中1,Math,1806,,,,2021年度 中1 第2回
2431068,56.0,2,2021,中1,Math,1811,,,,2021年度 中1 第2回
2431076,64.0,2,2021,中1,Math,1812,,,,2021年度 中1 第2回
2431106,64.0,2,2021,中1,Math,1815,,,,2021年度 中1 第2回
2431149,70.0,2,2021,中1,Math,1819,,,,2021年度 中1 第2回
2431173,83.0,2,2021,中1,Math,1822,,,,2021年度 中1 第2回
2431203,69.0,2,2021,中1,Math,1825,,,,2021年度 中1 第2回
2430010,81.0,2,2021,中1,Math,1706,,,,2021年度 中1 第2回
2430029,65.0,2,2021,中1,Math,1707,,,,2021年度 中1 第2回
2430053,66.0,2,2021,中1,Math,1710,,,,2021年度 中1 第2回
2430061,68.0,2,2021,中1,Math,1711,,,,2021年度 中1 第2回
2430070,71.0,2,2021,中1,Math,1712,,,,2021年度 中1 第2回
2430118,72.0,2,2021,中1,Math,1716,,,,2021年度 中1 第2回
2430126,55.0,2,2021,中1,Math,1717,,,,2021年度 中1 第2回
2430193,77.0,2,2021,中1,Math,1724,,,,2021年度 中1 第2回
2430207,82.0,2,2021,中1,Math,1725,,,,2021年度 中1 第2回
2430258,84.0,2,2021,中1,Math,1730,,,,2021年度 中1 第2回
2430347,64.0,2,2021,中1,Math,1739,,,,2021年度 中1 第2回
2430355,70.0,2,2021,中1,Math,1740,,,,2021年度 中1 第2回
2430410,61.0,2,2021,中1,Math,1746,,,,2021年度 中1 第2回
2430509,91.0,2,2021,中1,Math,1755,,,,2021年度 中1 第2回
2430517,57.0,2,2021,中1,Math,1756,,,,2021年度 中1 第2回
2430568,64.0,2,2021,中1,Math,1761,,,,2021年度 中1 第2回
2430657,57.0,2,2021,中1,Math,1770,,,,2021年度 中1 第2回
2430665,61.0,2,2021,中1,Math,1771,,,,2021年度 中1 第2回
2430673,39.0,2,2021,中1,Math,1772,,,,2021年度 中1 第2回
2430681,63.0,2,2021,中1,Math,1773,,,,2021年度 中1 第2回
2430720,57.0,2,2021,中1,Math,1777,,,,2021年度 中1 第2回
2430738,61.0,2,2021,中1,Math,1778,,,,2021年度 中1 第2回
2430746,75.0,2,2021,中1,Math,1779,,,,2021年度 中1 第2回
2430800,58.0,2,2021,中1,Math,1785,,,,2021年度 中1 第2回
2430860,63.0,2,2021,中1,Math,1791,,,,2021年度 中1 第2回
2430878,54.0,2,2021,中1,Math,1792,,,,2021年度 中1 第2回
2430916,61.0,2,2021,中1,Math,1796,,,,2021年度 中1 第2回
2430924,66.0,2,2021,中1,Math,1797,,,,2021年度 中1 第2回
2430940,62.0,2,2021,中1,Math,1799,,,,2021年度 中1 第2回
2430959,79.0,2,2021,中1,Math,1800,,,,2021年度 中1 第2回
2430975,60.0,2,2021,中1,Math,1802,,,,2021年度 中1 第2回
2430983,70.0,2,2021,中1,Math,1803,,,,2021年度 中1 第2回
2431009,55.0,2,2021,中1,Math,1805,,,,2021年度 中1 第2回
2431041,88.0,2,2021,中1,Math,1809,,,,2021年度 中1 第2回
2431084,83.0,2,2021,中1,Math,1813,,,,2021年度 中1 第2回
2431130,45.0,2,2021,中1,Math,1818,,,,2021年度 中1 第2回
2431157,68.0,2,2021,中1,Math,1820,,,,2021年度 中1 第2回
2431190,56.0,2,2021,中1,Math,1824,,,,2021年度 中1 第2回
,68.0,1,2022,中2,,1706,0.68,2022年度2年A組数学[中学],Benesse模試1回,2022年度 中2 第1回
,87.0,1,2022,中2,,1708,0.87,2022年度2年A組数学[中学],Benesse模試1回,2022年度 中2 第1回
,61.0,1,2022,中2,,1710,0.61,2022年度2年A組数学[中学],Benesse模試1回,2022年度 中2 第1回
,77.0,1,2022,中2,,1715,0.77,2022年度2年A組数学[中学],Benesse模試1回,2022年度 中2 第1回
,57.99999999999999,1,2022,中2,,1718,0.58,2022年度2年A組数学[中学],Benesse模試1回,2022年度 中2 第1回
,63.0,1,2022,中2,,1722,0.63,2022年度2年A組数学[中学],Benesse模試1回,2022年度 中2 第1回
,50.0,1,2022,中2,,1730,0.5,2022年度2年A組数学[中学],Benesse模試1回,2022年度 中2 第1回
,65.0,1,2022,中2,,1731,0.65,2022年度2年A組数学[中学],Benesse模試1回,2022年度 中2 第1回
,63.0,1,2022,中2,,1734,0.63,2022年度2年A組数学[中学],Benesse模試1回,2022年度 中2 第1回
,82.0,1,2022,中2,,1735,0.82,2022年度2年A組数学[中学],Benesse模試1回,2022年度 中2 第1回
,61.0,1,2022,中2,,1736,0.61,2022年度2年A組数学[中学],Benesse模試1回,2022年度 中2 第1回
,69.0,1,2022,中2,,1740,0.69,2022年度2年A組数学[中学],Benesse模試1回,2022年度 中2 第1回
,45.0,1,2022,中2,,1745,0.45,2022年度2年A組数学[中学],Benesse模試1回,2022年度 中2 第1回
,70.0,1,2022,中2,,1750,0.7,2022年度2年A組数学[中学],Benesse模試1回,2022年度 中2 第1回
,66.0,1,2022,中2,,1753,0.66,2022年度2年A組数学[中学],Benesse模試1回,2022年度 中2 第1回
,73.0,1,2022,中2,,1759,0.73,2022年度2年A組数学[中学],Benesse模試1回,2022年度 中2 第1回
,64.0,1,2022,中2,,1763,0.64,2022年度2年A組数学[中学],Benesse模試1回,2022年度 中2 第1回
,64.0,1,2022,中2,,1767,0.64,2022年度2年A組数学[中学],Benesse模試1回,2022年度 中2 第1回
,70.0,1,2022,中2,,1768,0.7,2022年度2年A組数学[中学],Benesse模試1回,2022年度 中2 第1回
,81.0,1,2022,中2,,1771,0.81,2022年度2年A組数学[中学],Benesse模試1回,2022年度 中2 第1回
,64.0,1,2022,中2,,1773,0.64,2022年度2年A組数学[中学],Benesse模試1回,2022年度 中2 第1回
,88.0,1,2022,中2,,1784,0.88,2022年度2年A組数学[中学],Benesse模試1回,2022年度 中2 第1回
,64.0,1,2022,中2,,1789,0.64,2022年度2年A組数学[中学],Benesse模試1回,2022年度 中2 第1回
,62.0,1,2022,中2,,1791,0.62,2022年度2年A組数学[中学],Benesse模試1回,2022年度 中2 第1回
,45.0,1,2022,中2,,1792,0.45,2022年度2年A組数学[中学],Benesse模試1回,2022年度 中2 第1回
,66.0,1,2022,中2,,1796,0.66,2022年度2年A組数学[中学],Benesse模試1回,2022年度 中2 第1回
,75.0,1,2022,中2,,1797,0.75,2022年度2年A組数学[中学],Benesse模試1回,2022年度 中2 第1回
,82.0,1,2022,中2,,1798,0.82,2022年度2年A組数学[中学],Benesse模試1回,2022年度 中2 第1回
,77.0,1,2022,中2,,1800,0.77,2022年度2年A組数学[中学],Benesse模試1回,2022年度 中2 第1回
,75.0,1,2022,中2,,1802,0.75,2022年度2年A組数学[中学],Benesse模試1回,2022年度 中2 第1回
,81.0,1,2022,中2,,1805,0.81,2022年度2年A組数学[中学],Benesse模試1回,2022年度 中2 第1回
,93.0,1,2022,中2,,1806,0.93,2022年度2年A組数学[中学],Benesse模試1回,2022年度 中2 第1回
,71.0,1,2022,中2,,1807,0.71,2022年度2年A組数学[中学],Benesse模試1回,2022年度 中2 第1回
,68.0,1,2022,中2,,1813,0.68,2022年度2年A組数学[中学],Benesse模試1回,2022年度 中2 第1回
,71.0,1,2022,中2,,1816,0.71,2022年度2年A組数学[中学],Benesse模試1回,2022年度 中2 第1回
,63.0,1,2022,中2,,1819,0.63,2022年度2年A組数学[中学],Benesse模試1回,2022年度 中2 第1回
