subject,test_label,usage_quartile,usage_quartile_jp,median_score,n_students,total_hours,weeks,avg_weekly_hours
math,2023 R1,Q1,利用時間 最少（下位25％）,76.0,30,5530.4123,52,3.5451360897435897
math,2023 R1,Q2,利用時間 やや少（25–50％）,85.0,30,9968.9357,52,6.390343397435897
math,2023 R1,Q3,利用時間 やや多（50–75％）,83.0,29,13790.9674,52,9.145203846153846
math,2023 R1,Q4,利用時間 最多（上位25％）,85.5,30,22173.8128,52,14.213982564102563
math,2023 R2,Q1,利用時間 最少（下位25％）,57.0,30,1056.5372,27,1.304366913580247
math,2023 R2,Q2,利用時間 やや少（25–50％）,63.0,29,2175.2234,27,2.7780630906768837
math,2023 R2,Q3,利用時間 やや多（50–75％）,66.0,29,3693.8785,27,4.717597062579821
math,2023 R2,Q4,利用時間 最多（上位25％）,64.5,30,8099.6461,27,9.999563086419753
math,2024 R1,Q1,利用時間 最少（下位25％）,77.5,30,1872.7735,27,2.312066049382716
math,2024 R1,Q2,利用時間 やや少（25–50％）,78.5,30,3746.0948,27,4.624808395061728
math,2024 R1,Q3,利用時間 やや多（50–75％）,78.0,30,5470.3659,27,6.753538148148148
math,2024 R1,Q4,利用時間 最多（上位25％）,87.0,30,11241.8123,27,13.878780617283951
math,2024 R2,Q1,利用時間 最少（下位25％）,69.5,30,3460.6894,28,4.119868333333334
math,2024 R2,Q2,利用時間 やや少（25–50％）,69.0,30,5459.4965,28,6.499400595238096
math,2024 R2,Q3,利用時間 やや多（50–75％）,67.0,29,8419.6783,28,10.369061945812808
math,2024 R2,Q4,利用時間 最多（上位25％）,74.0,30,16843.9176,28,20.052282857142856
english,2023 R1,Q1,利用時間 最少（下位25％）,79.5,30,34.113,52,0.021867307692307693
english,2023 R1,Q2,利用時間 やや少（25–50％）,74.0,30,160.039,52,0.10258910256410256
english,2023 R1,Q3,利用時間 やや多（50–75％）,73.0,29,646.9389,52,0.429004575596817
english,2023 R1,Q4,利用時間 最多（上位25％）,77.0,30,5322.4318,52,3.4118152564102564
english,2023 R2,Q1,利用時間 最少（下位25％）,71.5,30,1.1771,27,0.00145320987654321
english,2023 R2,Q2,利用時間 やや少（25–50％）,75.0,29,13.816,27,0.017644955300127715
english,2023 R2,Q3,利用時間 やや多（50–75％）,73.0,29,112.5798,27,0.1437800766283525
english,2023 R2,Q4,利用時間 最多（上位25％）,73.0,30,1216.3258,27,1.5016367901234569
english,2024 R1,Q1,利用時間 最少（下位25％）,77.0,31,0.0,27,0.0
english,2024 R1,Q2,利用時間 やや少（25–50％）,83.0,29,5.220899999999999,27,0.0066678160919540225
english,2024 R1,Q3,利用時間 やや多（50–75％）,79.0,30,46.2712,27,0.05712493827160494
english,2024 R1,Q4,利用時間 最多（上位25％）,79.0,30,875.6172,27,1.081008888888889
english,2024 R2,Q1,利用時間 最少（下位25％）,73.0,61,0.0,28,0.0
english,2024 R2,Q3,利用時間 やや多（50–75％）,75.0,28,3.8449999999999998,28,0.004904336734693877
english,2024 R2,Q4,利用時間 最多（上位25％）,73.5,30,400.8259,28,0.47717369047619046
english,2024 R2,Q2,利用時間 やや少（25–50％）,,0,0.0,28,0.0
